Past_PatTrans_Meth_Yr_Round,SweepVac,Year,Past_PatTrans_Year,Pasture,Pasture_patch_year,Pasture_patch,Temperature,Winds,OrdinalSamplingDate,HerbYesNo_alltime,TSH,HerbTreat_14-18,GrazingYesNo,GrazingTreat,StartTime,Order,Biomass_mg,Length,Width
PYW_C1_Vacuum_2017_2,Vacuum,2017,PYW_C_2017,PYW,PYW_C_2017,PYW_C,80,0,195,Yes,2.5,Spr,Yes,SLS,13.22,aran,2.231589866,4,
PYW_C2_Sweep_2017_2,Sweep,2017,PYW_C_2017,PYW,PYW_C_2017,PYW_C,80,0,195,Yes,2.5,Spr,Yes,SLS,13.5,aran,2.231589866,4,
PYW_C2_Vacuum_2017_2,Vacuum,2017,PYW_C_2017,PYW,PYW_C_2017,PYW_C,80,0,195,Yes,2.5,Spr,Yes,SLS,13.5,aran,2.231589866,4,
RC2_C1_Sweep_2017_1,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,85,1,157,Yes,2.5,Spr,No,None,12.45,aran,2.231589866,4,
RC2_C1_Sweep_2017_2,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.65,aran,2.231589866,4,
RC2_C1_Vacuum_2017_1,Vacuum,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,85,1,157,Yes,2.5,Spr,No,None,12.45,aran,2.231589866,4,
RC2_C1_Vacuum_2017_2,Vacuum,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.65,aran,2.231589866,4,
RC2_C2_Sweep_2017_1,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,85,1,157,Yes,2.5,Spr,No,None,12.07,aran,2.231589866,4,
RC2_C2_Sweep_2017_2,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.37,aran,2.231589866,4,
RC2_C2_Vacuum_2017_2,Vacuum,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.37,aran,2.231589866,4,
STE_S2_Vacuum_2017_2,Vacuum,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,9.97,aran,2.231589866,4,
BSH_C1_Vacuum_2016_2,Vacuum,2016,BSH_C_2016,BSH,BSH_C_2016,BSH_C,80,0,217,Yes,1.5,Spr,No,None,11.45,aran,2.231589866,4,
BSH_C2_Sweep_2016_1,Sweep,2016,BSH_C_2016,BSH,BSH_C_2016,BSH_C,82,1,190,Yes,1.5,Spr,No,None,11.7,aran,2.231589866,4,
DUN_E1_Vacuum_2016_2,Vacuum,2016,DUN_E_2016,DUN,DUN_E_2016,DUN_E,85,0,216,Yes,1.5,Spr,No,None,14.73,aran,2.231589866,4,
DUN_E2_Sweep_2016_2,Sweep,2016,DUN_E_2016,DUN,DUN_E_2016,DUN_E,85,0,216,Yes,1.5,Spr,No,None,14.37,aran,2.231589866,4,
DUN_E2_Vacuum_2016_2,Vacuum,2016,DUN_E_2016,DUN,DUN_E_2016,DUN_E,85,0,216,Yes,1.5,Spr,No,None,14.37,aran,2.231589866,4,
GIL_N1_Sweep_2016_1,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,94,4,177,Yes,1.5,Spr,Yes,IES,11.68,aran,2.231589866,4,
GIL_N1_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.67,aran,2.231589866,4,
GIL_N1_Vacuum_2016_1,Vacuum,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,94,4,177,Yes,1.5,Spr,Yes,IES,11.68,aran,2.231589866,4,
GIL_N1_Vacuum_2016_2,Vacuum,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.67,aran,2.231589866,4,
GIL_N2_Vacuum_2016_1,Vacuum,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,94,4,177,Yes,1.5,Spr,Yes,IES,11.2,aran,2.231589866,4,
LTR_C1_Vacuum_2016_1,Vacuum,2016,LTR_C_2016,LTR,LTR_C_2016,LTR_C,90,1,168,Yes,1.5,Spr,Yes,IES,11.05,aran,2.231589866,4,
LTR_C2_Sweep_2016_2,Sweep,2016,LTR_C_2016,LTR,LTR_C_2016,LTR_C,75,0,198,Yes,1.5,Spr,Yes,IES,10.68,aran,2.231589866,4,
LTR_C2_Vacuum_2016_2,Vacuum,2016,LTR_C_2016,LTR,LTR_C_2016,LTR_C,75,0,198,Yes,1.5,Spr,Yes,IES,10.68,aran,2.231589866,4,
PYW_C1_Sweep_2016_1,Sweep,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,98,8,174,Yes,1.5,Spr,Yes,SLS,13.43,aran,2.231589866,4,
PYW_C1_Vacuum_2016_1,Vacuum,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,98,8,174,Yes,1.5,Spr,Yes,SLS,13.43,aran,2.231589866,4,
PYW_C1_Vacuum_2016_2,Vacuum,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,95,0,206,Yes,1.5,Spr,Yes,SLS,12.28,aran,2.231589866,4,
PYW_C2_Sweep_2016_1,Sweep,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,98,8,174,Yes,1.5,Spr,Yes,SLS,14.17,aran,2.231589866,4,
PYW_C2_Sweep_2016_2,Sweep,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,95,0,206,Yes,1.5,Spr,Yes,SLS,11.93,aran,2.231589866,4,
PYW_C2_Vacuum_2016_2,Vacuum,2016,PYW_C_2016,PYW,PYW_C_2016,PYW_C,95,0,206,Yes,1.5,Spr,Yes,SLS,11.93,aran,2.231589866,4,
RC2_C1_Sweep_2016_1,Sweep,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,14.53,aran,2.231589866,4,
RC2_C1_Vacuum_2016_1,Vacuum,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,14.53,aran,2.231589866,4,
RC2_C2_Sweep_2016_1,Sweep,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,15,aran,2.231589866,4,
RC2_C2_Vacuum_2016_1,Vacuum,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,15,aran,2.231589866,4,
STE_S1_Sweep_2017_2,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,10.27,aran,2.231589866,4,
STE_S1_Vacuum_2017_2,Vacuum,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,10.27,aran,2.231589866,4,
STE_S2_Sweep_2017_1,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,84,1,171,Yes,1.5,Spr,Yes,SLS,13.22,aran,2.231589866,4,
STE_S2_Sweep_2017_2,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,9.97,aran,2.231589866,4,
BSH_C1_Sweep_2015_1,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,11.28,aran,2.231589866,4,1
BSH_C1_Sweep_2015_2,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,90,4,193,Yes,0.5,Spr,No,None,13.17,aran,2.231589866,4,1
BSH_C1_Sweep_2015_2,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,90,4,193,Yes,0.5,Spr,No,None,13.17,aran,2.231589866,4,1.5
BSH_C1_Vacuum_2015_1,Vacuum,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,11.28,aran,2.231589866,4,1
BSH_C1_Vacuum_2015_1,Vacuum,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,11.28,aran,2.231589866,4,1.5
BSH_C2_Sweep_2015_1,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,12.2,aran,2.231589866,4,1
BSH_C2_Sweep_2015_1,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,12.2,aran,2.231589866,4,2
BSH_C2_Sweep_2015_2,Sweep,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,90,4,193,Yes,0.5,Spr,No,None,14.17,aran,2.231589866,4,1
BSH_C2_Vacuum_2015_1,Vacuum,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,80,8,179,Yes,0.5,Spr,No,None,12.2,aran,2.231589866,4,1
BSH_C2_Vacuum_2015_2,Vacuum,2015,BSH_C_2015,BSH,BSH_C_2015,BSH_C,90,4,193,Yes,0.5,Spr,No,None,14.17,aran,2.231589866,4,1
DUN_E2_Sweep_2015_1,Sweep,2015,DUN_E_2015,DUN,DUN_E_2015,DUN_E,80,1,181,Yes,0.5,Spr,No,Hay,10.5,aran,2.231589866,4,1
GIL_N2_Sweep_2015_1,Sweep,2015,GIL_N_2015,GIL,GIL_N_2015,GIL_N,73,4,183,Yes,0.5,Spr,Yes,IES,14.17,aran,2.231589866,4,1.5
LTR_C1_Vacuum_2015_2,Vacuum,2015,LTR_C_2015,LTR,LTR_C_2015,LTR_C,90,0,198,Yes,0.5,Spr,Yes,IES,10.5,aran,2.231589866,4,1
LTR_C1_Vacuum_2015_2,Vacuum,2015,LTR_C_2015,LTR,LTR_C_2015,LTR_C,90,0,198,Yes,0.5,Spr,Yes,IES,10.5,aran,2.231589866,4,1.5
LTR_C2_Vacuum_2015_1,Vacuum,2015,LTR_C_2015,LTR,LTR_C_2015,LTR_C,75,13,158,Yes,0.5,Spr,Yes,IES,11.3,aran,2.231589866,4,2.5
LTR_C2_Vacuum_2015_2,Vacuum,2015,LTR_C_2015,LTR,LTR_C_2015,LTR_C,90,0,198,Yes,0.5,Spr,Yes,IES,10.83,aran,2.231589866,4,1.5
PYW_C1_Vacuum_2015_1,Vacuum,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,75,4,172,Yes,0.5,Spr,Yes,SLS,11.05,aran,2.231589866,4,2.5
PYW_C1_Vacuum_2015_2,Vacuum,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,80,4,210,Yes,0.5,Spr,Yes,SLS,15,aran,2.231589866,4,2
PYW_C2_Sweep_2015_1,Sweep,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,75,4,172,Yes,0.5,Spr,Yes,SLS,11.48,aran,2.231589866,4,2
PYW_C2_Vacuum_2015_1,Vacuum,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,75,4,172,Yes,0.5,Spr,Yes,SLS,11.48,aran,2.231589866,4,1
PYW_C2_Vacuum_2015_2,Vacuum,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,80,4,210,Yes,0.5,Spr,Yes,SLS,14.47,aran,2.231589866,4,1
PYW_C2_Vacuum_2015_2,Vacuum,2015,PYW_C_2015,PYW,PYW_C_2015,PYW_C,80,4,210,Yes,0.5,Spr,Yes,SLS,14.47,aran,2.231589866,4,2
RC2_C1_Sweep_2015_2,Sweep,2015,RC2_C_2015,RC2,RC2_C_2015,RC2_C,100,0,210,Yes,0.5,Spr,No,None,13.62,aran,2.231589866,4,1.5
RC2_C1_Vacuum_2015_2,Vacuum,2015,RC2_C_2015,RC2,RC2_C_2015,RC2_C,100,0,210,Yes,0.5,Spr,No,None,13.62,aran,2.231589866,4,1.5
STE_S1_Sweep_2016_1,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,75,0,186,Yes,0.5,Spr,Yes,SLS,18.4,aran,2.231589866,4,
STE_S1_Sweep_2016_2,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,85,1,218,Yes,0.5,Spr,Yes,SLS,14.08,aran,2.231589866,4,
STE_S1_Vacuum_2016_2,Vacuum,2016,STE_S_2016,STE,STE_S_2016,STE_S,85,1,218,Yes,0.5,Spr,Yes,SLS,14.08,aran,2.231589866,4,
STE_S2_Sweep_2016_1,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,75,0,186,Yes,0.5,Spr,Yes,SLS,18.95,aran,2.231589866,4,
STE_S2_Sweep_2016_2,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,85,1,218,Yes,0.5,Spr,Yes,SLS,13.7,aran,2.231589866,4,
STE_S2_Vacuum_2016_1,Vacuum,2016,STE_S_2016,STE,STE_S_2016,STE_S,75,0,186,Yes,0.5,Spr,Yes,SLS,18.95,aran,2.231589866,4,
235_C1_Sweep_2017_2,Sweep,2017,235_C_2017,235,235_C_2017,235_C,75,1,205,Yes,3.5,SnS,Yes,SLS,10.67,aran,2.231589866,4,
235_C1_Vacuum_2017_2,Vacuum,2017,235_C_2017,235,235_C_2017,235_C,75,1,205,Yes,3.5,SnS,Yes,SLS,10.67,aran,2.231589866,4,
235_C2_Sweep_2017_1,Sweep,2017,235_C_2017,235,235_C_2017,235_C,80,8,175,Yes,3.5,SnS,Yes,SLS,13.22,aran,2.231589866,4,
235_C2_Sweep_2017_2,Sweep,2017,235_C_2017,235,235_C_2017,235_C,75,1,205,Yes,3.5,SnS,Yes,SLS,11.08,aran,2.231589866,4,
235_C2_Vacuum_2017_2,Vacuum,2017,235_C_2017,235,235_C_2017,235_C,75,1,205,Yes,3.5,SnS,Yes,SLS,11.08,aran,2.231589866,4,
235_C1_Sweep_2016_1,Sweep,2016,235_C_2016,235,235_C_2016,235_C,85,0,179,Yes,2.5,SnS,Yes,SLS,13.32,aran,2.231589866,4,
235_C1_Sweep_2016_2,Sweep,2016,235_C_2016,235,235_C_2016,235_C,85,4,208,Yes,2.5,SnS,Yes,SLS,10.7,aran,2.231589866,4,
235_C1_Vacuum_2016_1,Vacuum,2016,235_C_2016,235,235_C_2016,235_C,85,0,179,Yes,2.5,SnS,Yes,SLS,13.32,aran,2.231589866,4,
235_C2_Sweep_2016_1,Sweep,2016,235_C_2016,235,235_C_2016,235_C,85,0,179,Yes,2.5,SnS,Yes,SLS,12.97,aran,2.231589866,4,
235_C2_Sweep_2016_2,Sweep,2016,235_C_2016,235,235_C_2016,235_C,85,4,208,Yes,2.5,SnS,Yes,SLS,11.05,aran,2.231589866,4,
235_C2_Vacuum_2016_2,Vacuum,2016,235_C_2016,235,235_C_2016,235_C,85,4,208,Yes,2.5,SnS,Yes,SLS,11.05,aran,2.231589866,4,
235_N1_Sweep_2017_1,Sweep,2017,235_N_2017,235,235_N_2017,235_N,80,8,175,Yes,2.5,SnS,Yes,SLS,12.45,aran,2.231589866,4,
235_N1_Sweep_2017_2,Sweep,2017,235_N_2017,235,235_N_2017,235_N,75,1,205,Yes,2.5,SnS,Yes,SLS,10.15,aran,2.231589866,4,
235_N1_Vacuum_2017_2,Vacuum,2017,235_N_2017,235,235_N_2017,235_N,75,1,205,Yes,2.5,SnS,Yes,SLS,10.15,aran,2.231589866,4,
235_N2_Sweep_2017_2,Sweep,2017,235_N_2017,235,235_N_2017,235_N,75,1,205,Yes,2.5,SnS,Yes,SLS,10.43,aran,2.231589866,4,
BSH_S1_Sweep_2017_1,Sweep,2017,BSH_S_2017,BSH,BSH_S_2017,BSH_S,75,13,169,Yes,2.5,SnS,No,None,12.95,aran,2.231589866,4,
BSH_S1_Sweep_2017_2,Sweep,2017,BSH_S_2017,BSH,BSH_S_2017,BSH_S,85,1,199,Yes,2.5,SnS,No,None,12.7,aran,2.231589866,4,
BSH_S2_Sweep_2017_2,Sweep,2017,BSH_S_2017,BSH,BSH_S_2017,BSH_S,85,1,199,Yes,2.5,SnS,No,None,13,aran,2.231589866,4,
DUN_W1_Sweep_2017_1,Sweep,2017,DUN_W_2017,DUN,DUN_W_2017,DUN_W,80,4,181,Yes,2.5,SnS,No,None,14.3,aran,2.231589866,4,
DUN_W2_Sweep_2017_1,Sweep,2017,DUN_W_2017,DUN,DUN_W_2017,DUN_W,80,4,181,Yes,2.5,SnS,No,None,14.03,aran,2.231589866,4,
DUN_W2_Sweep_2017_2,Sweep,2017,DUN_W_2017,DUN,DUN_W_2017,DUN_W,85,8,191,Yes,2.5,SnS,No,None,12.33,aran,2.231589866,4,
DUN_W2_Vacuum_2017_1,Vacuum,2017,DUN_W_2017,DUN,DUN_W_2017,DUN_W,80,4,181,Yes,2.5,SnS,No,None,14.03,aran,2.231589866,4,
DUN_W2_Vacuum_2017_2,Vacuum,2017,DUN_W_2017,DUN,DUN_W_2017,DUN_W,85,8,191,Yes,2.5,SnS,No,None,12.33,aran,2.231589866,4,
GIL_C1_Vacuum_2017_2,Vacuum,2017,GIL_C_2017,GIL,GIL_C_2017,GIL_C,75,1,195,Yes,2.5,SnS,Yes,IES,11.72,aran,2.231589866,4,
GIL_C2_Sweep_2017_1,Sweep,2017,GIL_C_2017,GIL,GIL_C_2017,GIL_C,75,4,172,Yes,2.5,SnS,Yes,IES,9.87,aran,2.231589866,4,
GIL_C2_Sweep_2017_2,Sweep,2017,GIL_C_2017,GIL,GIL_C_2017,GIL_C,75,1,195,Yes,2.5,SnS,Yes,IES,11.45,aran,2.231589866,4,
GIL_C2_Vacuum_2017_2,Vacuum,2017,GIL_C_2017,GIL,GIL_C_2017,GIL_C,75,1,195,Yes,2.5,SnS,Yes,IES,11.45,aran,2.231589866,4,
LTR_E1_Sweep_2017_1,Sweep,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,72,1,158,Yes,2.5,SnS,Yes,IES,11.22,aran,2.231589866,4,
LTR_E1_Sweep_2017_2,Sweep,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,80,1,194,Yes,2.5,SnS,Yes,IES,14.1,aran,2.231589866,4,
LTR_E2_Sweep_2017_1,Sweep,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,72,1,158,Yes,2.5,SnS,Yes,IES,10.92,aran,2.231589866,4,
LTR_E2_Vacuum_2017_1,Vacuum,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,72,1,158,Yes,2.5,SnS,Yes,IES,10.92,aran,2.231589866,4,
LTR_E2_Vacuum_2017_2,Vacuum,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,80,1,194,Yes,2.5,SnS,Yes,IES,14.43,aran,2.231589866,4,
PYW_N1_Sweep_2017_2,Sweep,2017,PYW_N_2017,PYW,PYW_N_2017,PYW_N,80,0,195,Yes,2.5,SnS,Yes,SLS,12.83,aran,2.231589866,4,
PYW_N1_Vacuum_2017_2,Vacuum,2017,PYW_N_2017,PYW,PYW_N_2017,PYW_N,80,0,195,Yes,2.5,SnS,Yes,SLS,12.83,aran,2.231589866,4,
PYW_N2_Sweep_2017_2,Sweep,2017,PYW_N_2017,PYW,PYW_N_2017,PYW_N,80,0,195,Yes,2.5,SnS,Yes,SLS,13.03,aran,2.231589866,4,
PYW_N2_Vacuum_2017_1,Vacuum,2017,PYW_N_2017,PYW,PYW_N_2017,PYW_N,80,8,173,Yes,2.5,SnS,Yes,SLS,10.42,aran,2.231589866,4,
PYW_N2_Vacuum_2017_2,Vacuum,2017,PYW_N_2017,PYW,PYW_N_2017,PYW_N,80,0,195,Yes,2.5,SnS,Yes,SLS,13.03,aran,2.231589866,4,
RC2_N1_Sweep_2017_1,Sweep,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,90,1,157,Yes,2.5,SnS,No,None,12.97,aran,2.231589866,4,
RC2_N1_Sweep_2017_2,Sweep,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,75,4,206,Yes,2.5,SnS,No,None,13.02,aran,2.231589866,4,
RC2_N1_Vacuum_2017_1,Vacuum,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,90,1,157,Yes,2.5,SnS,No,None,12.97,aran,2.231589866,4,
RC2_N2_Sweep_2017_2,Sweep,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,75,4,206,Yes,2.5,SnS,No,None,13.35,aran,2.231589866,4,
RC2_N2_Vacuum_2017_1,Vacuum,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,90,1,157,Yes,2.5,SnS,No,None,13.28,aran,2.231589866,4,
RC2_N2_Vacuum_2017_2,Vacuum,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,75,4,206,Yes,2.5,SnS,No,None,13.35,aran,2.231589866,4,
RCH2014_W1_Vacuum_2017_2,Vacuum,2017,RCH2014_W_2017,RCH2014,RCH2014_W_2017,RCH2014_W,85,1,186,Yes,2.5,SnS,Yes,SLS,11.97,aran,2.231589866,4,
RCH2014_W2_Vacuum_2017_2,Vacuum,2017,RCH2014_W_2017,RCH2014,RCH2014_W_2017,RCH2014_W,85,1,186,Yes,2.5,SnS,Yes,SLS,12.18,aran,2.231589866,4,
235_C1_Sweep_2015_2,Sweep,2015,235_C_2015,235,235_C_2015,235_C,80,1,211,Yes,1.5,SnS,Yes,SLS,14.68,aran,2.231589866,4,
235_C2_Sweep_2015_1,Sweep,2015,235_C_2015,235,235_C_2015,235_C,75,1,180,Yes,1.5,SnS,Yes,SLS,12.67,aran,2.231589866,4,
235_C2_Vacuum_2015_1,Vacuum,2015,235_C_2015,235,235_C_2015,235_C,75,1,180,Yes,1.5,SnS,Yes,SLS,12.67,aran,2.231589866,4,
235_N1_Sweep_2016_1,Sweep,2016,235_N_2016,235,235_N_2016,235_N,85,0,179,Yes,1.5,SnS,Yes,SLS,14.03,aran,2.231589866,4,
235_N1_Sweep_2016_2,Sweep,2016,235_N_2016,235,235_N_2016,235_N,85,4,208,Yes,1.5,SnS,Yes,SLS,11.83,aran,2.231589866,4,
235_S1_Sweep_2017_1,Sweep,2017,235_S2_2017,235,235_S2_2017,235_S2,80,1,175,Yes,1.5,SnS,Yes,SLS,10.73,aran,2.231589866,4,
235_S1_Sweep_2017_2,Sweep,2017,235_S2_2017,235,235_S2_2017,235_S2,75,1,205,Yes,1.5,SnS,Yes,SLS,11.62,aran,2.231589866,4,
BSH_S1_Sweep_2016_2,Sweep,2016,BSH_S_2016,BSH,BSH_S_2016,BSH_S,80,0,217,Yes,1.5,SnS,No,None,9.98,aran,2.231589866,4,
BSH_S2_Sweep_2016_1,Sweep,2016,BSH_S_2016,BSH,BSH_S_2016,BSH_S,82,1,190,Yes,1.5,SnS,No,None,13.12,aran,2.231589866,4,
BSH_S2_Sweep_2016_2,Sweep,2016,BSH_S_2016,BSH,BSH_S_2016,BSH_S,80,0,217,Yes,1.5,SnS,No,None,10.37,aran,2.231589866,4,
BSH_S2_Vacuum_2016_1,Vacuum,2016,BSH_S_2016,BSH,BSH_S_2016,BSH_S,82,1,190,Yes,1.5,SnS,No,None,13.12,aran,2.231589866,4,
DUN_W1_Sweep_2016_2,Sweep,2016,DUN_W_2016,DUN,DUN_W_2016,DUN_W,105,4,217,Yes,1.5,SnS,No,None,15.73,aran,2.231589866,4,
DUN_W2_Sweep_2016_2,Sweep,2016,DUN_W_2016,DUN,DUN_W_2016,DUN_W,105,4,217,Yes,1.5,SnS,No,None,15.43,aran,2.231589866,4,
DUN_W2_Vacuum_2016_2,Vacuum,2016,DUN_W_2016,DUN,DUN_W_2016,DUN_W,105,4,217,Yes,1.5,SnS,No,None,15.43,aran,2.231589866,4,
GIL_C1_Vacuum_2016_1,Vacuum,2016,GIL_C_2016,GIL,GIL_C_2016,GIL_C,94,4,177,Yes,1.5,SnS,Yes,IES,10.83,aran,2.231589866,4,
GIL_C2_Sweep_2016_1,Sweep,2016,GIL_C_2016,GIL,GIL_C_2016,GIL_C,94,4,177,Yes,1.5,SnS,Yes,IES,12.17,aran,2.231589866,4,
GIL_C2_Sweep_2016_2,Sweep,2016,GIL_C_2016,GIL,GIL_C_2016,GIL_C,80,4,198,Yes,1.5,SnS,Yes,IES,15,aran,2.231589866,4,
LTR_E2_Sweep_2016_2,Sweep,2016,LTR_E_2016,LTR,LTR_E_2016,LTR_E,75,0,198,Yes,1.5,SnS,Yes,IES,11.08,aran,2.231589866,4,
LTR_E2_Vacuum_2016_2,Vacuum,2016,LTR_E_2016,LTR,LTR_E_2016,LTR_E,75,0,198,Yes,1.5,SnS,Yes,IES,11.08,aran,2.231589866,4,
PYW_N1_Vacuum_2016_2,Vacuum,2016,PYW_N_2016,PYW,PYW_N_2016,PYW_N,,,,Yes,1.5,SnS,Yes,SLS,,aran,2.231589866,4,
PYW_N2_Vacuum_2016_2,Vacuum,2016,PYW_N_2016,PYW,PYW_N_2016,PYW_N,,,,Yes,1.5,SnS,Yes,SLS,,aran,2.231589866,4,
RC2_N1_Vacuum_2016_1,Vacuum,2016,RC2_N_2016,RC2,RC2_N_2016,RC2_N,75,0,183,Yes,1.5,SnS,No,None,13.95,aran,2.231589866,4,
RC2_N2_Vacuum_2016_1,Vacuum,2016,RC2_N_2016,RC2,RC2_N_2016,RC2_N,75,0,183,Yes,1.5,SnS,No,None,15.42,aran,2.231589866,4,
RCH2014_C2_Sweep_2017_1,Sweep,2017,RCH2014_C_2017,RCH2014,RCH2014_C_2017,RCH2014_C,80,1,174,Yes,1.5,SnS,Yes,SLS,11.08,aran,2.231589866,4,
RCH2014_C2_Sweep_2017_2,Sweep,2017,RCH2014_C_2017,RCH2014,RCH2014_C_2017,RCH2014_C,85,1,186,Yes,1.5,SnS,Yes,SLS,12.75,aran,2.231589866,4,
RCH2014_C2_Vacuum_2017_1,Vacuum,2017,RCH2014_C_2017,RCH2014,RCH2014_C_2017,RCH2014_C,80,1,174,Yes,1.5,SnS,Yes,SLS,11.08,aran,2.231589866,4,
RCH2014_C2_Vacuum_2017_2,Vacuum,2017,RCH2014_C_2017,RCH2014,RCH2014_C_2017,RCH2014_C,85,1,186,Yes,1.5,SnS,Yes,SLS,12.75,aran,2.231589866,4,
RCH2014_W1_Sweep_2016_2,Sweep,2016,RCH2014_W_2016,RCH2014,RCH2014_W_2016,RCH2014_W,106,4,203,Yes,1.5,SnS,Yes,SLS,11.08,aran,2.231589866,4,
RCH2014_W2_Sweep_2016_1,Sweep,2016,RCH2014_W_2016,RCH2014,RCH2014_W_2016,RCH2014_W,75,1,180,Yes,1.5,SnS,Yes,SLS,12.97,aran,2.231589866,4,
RCH2014_W2_Sweep_2016_2,Sweep,2016,RCH2014_W_2016,RCH2014,RCH2014_W_2016,RCH2014_W,106,4,203,Yes,1.5,SnS,Yes,SLS,11,aran,2.231589866,4,
RCH2014_W2_Vacuum_2016_1,Vacuum,2016,RCH2014_W_2016,RCH2014,RCH2014_W_2016,RCH2014_W,75,1,180,Yes,1.5,SnS,Yes,SLS,12.97,aran,2.231589866,4,
RCH2014_W2_Vacuum_2016_2,Vacuum,2016,RCH2014_W_2016,RCH2014,RCH2014_W_2016,RCH2014_W,106,4,203,Yes,1.5,SnS,Yes,SLS,11,aran,2.231589866,4,
STE_N1_Sweep_2017_1,Sweep,2017,STE_N1_2017,STE,STE_N1_2017,STE_N,84,1,171,Yes,1.5,SnS,Yes,SLS,11.77,aran,2.231589866,4,
STE_N1_Sweep_2017_2,Sweep,2017,STE_N1_2017,STE,STE_N1_2017,STE_N,85,4,202,Yes,1.5,SnS,Yes,SLS,8.63,aran,2.231589866,4,
STE_N1_Vacuum_2017_1,Vacuum,2017,STE_N1_2017,STE,STE_N1_2017,STE_N,84,1,171,Yes,1.5,SnS,Yes,SLS,11.77,aran,2.231589866,4,
